,101,Rok,Cislo,Strana,URL
125,1594029,1935,424.0,2.0,https://www.ndk.cz/view/uuid:b1ef42d0-274f-11dd-8623-000d606f5dc6?page=uuid:81160f70-5da2-4443-8b5c-36af518367d1
126,1594333,1938,109.0,5.0,https://www.ndk.cz/view/uuid:7d619aa0-48d7-11dd-bdd9-000d606f5dc6?page=uuid:b2e7f356-2d45-4c7f-9d1c-7afbadd9112c
127,1594704,1938,521.0,9.0,https://www.ndk.cz/view/uuid:ab927ff0-3d17-11dd-be78-000d606f5dc6?page=uuid:a641679b-8358-4196-ac73-c3993308ace5
128,1594825,1945,27.0,2.0,https://www.ndk.cz/view/uuid:4eba18f0-63f1-11dd-96be-000d606f5dc6?page=uuid:adb85830-c0ab-42eb-9a73-eac1c12145fa
129,1595430,1939,529.0,7.0,https://www.ndk.cz/view/uuid:8bcba9f0-53d6-11dd-9164-000d606f5dc6?page=uuid:f3431923-d2c6-45c1-ab96-d3259725329d
130,1606988,1939,529.0,7.0,https://www.ndk.cz/view/uuid:8bcba9f0-53d6-11dd-9164-000d606f5dc6?page=uuid:f3431923-d2c6-45c1-ab96-d3259725329d
131,1630726,1939,529.0,7.0,https://www.ndk.cz/view/uuid:8bcba9f0-53d6-11dd-9164-000d606f5dc6?page=uuid:f3431923-d2c6-45c1-ab96-d3259725329d
132,1647823,1939,529.0,7.0,https://www.ndk.cz/view/uuid:8bcba9f0-53d6-11dd-9164-000d606f5dc6?page=uuid:f3431923-d2c6-45c1-ab96-d3259725329d
133,1595690,1938,551.0,10.0,https://www.ndk.cz/view/uuid:d7373c20-75b3-11dd-a7f0-000d606f5dc6?page=uuid:a61f292b-bb11-479f-96c4-48f3c677ea99
134,1596324,1944,84.0,1.0,https://www.ndk.cz/view/uuid:f7939fb0-7ab1-11dd-ad3a-000d606f5dc6?page=uuid:862710fc-49e7-4bff-a7a8-0db199d4c0e3
135,1596689,1941,562.0,2.0,https://www.ndk.cz/view/uuid:c3cc95d0-6a47-11dd-945e-000d606f5dc6?page=uuid:03aded95-a78b-4d1f-884a-64e2594ef369
